,y,ds
301,5035.8056,2018-10-29
302,5187.0,2018-10-30
303,5320.0,2018-10-31
304,5320.0,2018-11-01
305,2261.0,2018-11-02
306,2128.0,2018-11-03
307,2394.0,2018-11-04
308,2394.0,2018-11-05
309,2793.0,2018-11-06
310,2660.0,2018-11-07
311,2128.0,2018-11-08
312,5187.0,2018-11-09
313,5187.0,2018-11-10
314,2128.0,2018-11-11
315,2128.0,2018-11-12
316,2128.0,2018-11-13
317,2128.0,2018-11-14
318,2394.0,2018-11-15
319,2394.0,2018-11-16
320,2207.401,2018-11-17
321,2128.0,2018-11-18
322,2128.0,2018-11-19
323,2128.0,2018-11-20
324,2502.7408,2018-11-21
325,2617.3336,2018-11-22
326,2527.0,2018-11-23
327,2394.0,2018-11-24
328,2527.0,2018-11-25
329,2527.0,2018-11-26
330,2231.1548,2018-11-27
331,3074.3615,2018-11-28
332,2793.0,2018-11-29
333,2394.0,2018-11-30
334,2527.0,2018-12-01
335,2793.0,2018-12-02
336,2793.0,2018-12-03
337,2362.7982,2018-12-04
338,2300.7005,2018-12-05
339,2261.0,2018-12-06
340,2128.0,2018-12-07
341,2394.0,2018-12-08
342,2527.0,2018-12-09
343,2394.0,2018-12-10
344,2394.0,2018-12-11
345,2527.0,2018-12-12
346,2527.0,2018-12-13
347,2722.8026,2018-12-14
348,2510.7208,2018-12-15
349,2176.5051,2018-12-16
350,2494.4416,2018-12-17
351,2494.4416,2018-12-18
352,2784.355,2018-12-19
353,2926.0,2018-12-20
354,2853.1027,2018-12-21
355,3059.0,2018-12-22
356,2394.0,2018-12-23
357,2246.0774,2018-12-24
358,2128.0,2018-12-25
359,2128.0,2018-12-26
360,2394.0,2018-12-27
361,2527.0,2018-12-28
362,2527.0,2018-12-29
363,2926.0,2018-12-30
364,2793.0,2018-12-31
365,3394.16,2019-01-01
366,2848.78286,2019-01-02
367,2932.65,2019-01-03
368,2561.58,2019-01-04
369,2979.2,2019-01-05
370,3032.4,2019-01-06
371,2956.59,2019-01-07
372,3128.16,2019-01-08
373,3072.3,2019-01-09
374,3044.37,2019-01-10
375,3511.2,2019-01-11
376,3211.95,2019-01-12
377,3214.199296,2019-01-13
378,3657.5,2019-01-14
379,2419.27,2019-01-15
380,2396.66,2019-01-16
381,2388.9061,2019-01-17
382,2681.28,2019-01-18
383,2633.4,2019-01-19
384,2609.46,2019-01-20
385,2628.08,2019-01-21
386,3295.74,2019-01-22
387,2979.2,2019-01-23
388,2776.378458,2019-01-24
389,3013.78,2019-01-25
390,3481.94,2019-01-26
391,3426.08,2019-01-27
392,3224.006051,2019-01-28
393,3295.74,2019-01-29
394,3072.3,2019-01-30
395,3126.286695,2019-01-31
396,2298.089444,2019-02-01
397,5993.8046,2019-02-02
398,5636.79536,2019-02-03
399,2614.2746,2019-02-04
400,2464.49,2019-02-05
401,2532.32,2019-02-06
402,2411.44295,2019-02-07
403,2276.22185,2019-02-08
404,2872.8,2019-02-09
405,2653.35,2019-02-10
406,2713.330872,2019-02-11
407,2952.6,2019-02-12
408,2832.336612,2019-02-13
409,2876.79,2019-02-14
410,3089.59,2019-02-15
411,3283.208208,2019-02-16
412,3335.64,2019-02-17
413,3189.34,2019-02-18
414,2766.4,2019-02-19
415,3044.37,2019-02-20
416,2736.685672,2019-02-21
417,5105.0587,2019-02-22
418,3887.692676,2019-02-23
419,2415.05124,2019-02-24
420,3136.161546,2019-02-25
421,3098.4744,2019-02-26
422,2880.78,2019-02-27
423,2394.0,2019-02-28
424,3072.3,2019-03-01
425,3072.3,2019-03-02
426,3267.81,2019-03-03
