,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
25,2018-01-26,3060.1744874475635,1108.5821900174828,4354.380723675045,3060.1744874475635,3060.1744874475635,-353.87971313869383,-353.87971313869383,-353.87971313869383,462.59191623570547,462.59191623570547,462.59191623570547,-34.59503457631115,-34.59503457631115,-34.59503457631115,-781.8765947980881,-781.8765947980881,-781.8765947980881,0.0,0.0,0.0,2706.29477430887
26,2018-01-27,3060.9747207711594,1154.6728604819582,4391.839346551073,3060.9747207711594,3060.9747207711594,-337.18244031498324,-337.18244031498324,-337.18244031498324,462.59191623570547,462.59191623570547,462.59191623570547,-14.026900617637017,-14.026900617637017,-14.026900617637017,-785.7474559330517,-785.7474559330517,-785.7474559330517,0.0,0.0,0.0,2723.7922804561763
27,2018-01-28,3061.774954094755,1267.389305478493,4440.927833470693,3061.774954094755,3061.774954094755,-302.214240173846,-302.214240173846,-302.214240173846,462.59191623570547,462.59191623570547,462.59191623570547,25.16135079486956,25.16135079486956,25.16135079486956,-789.9675072044209,-789.9675072044209,-789.9675072044209,0.0,0.0,0.0,2759.5607139209087
28,2018-01-29,3062.575187418351,1235.2505765373387,4278.889202291019,3062.575187418351,3062.575187418351,-314.98156830849564,-314.98156830849564,-314.98156830849564,462.59191623570547,462.59191623570547,462.59191623570547,16.646724382760468,16.646724382760468,16.646724382760468,-794.2202089269615,-794.2202089269615,-794.2202089269615,0.0,0.0,0.0,2747.5936191098554
29,2018-01-30,3063.3754207419465,946.555762691463,4363.951087579831,3063.3754207419465,3063.3754207419465,-346.8725347651351,-346.8725347651351,-346.8725347651351,462.59191623570547,462.59191623570547,462.59191623570547,-11.260909337709583,-11.260909337709583,-11.260909337709583,-798.203541663131,-798.203541663131,-798.203541663131,0.0,0.0,0.0,2716.5028859768113
30,2018-01-31,3064.1756540655424,1258.3261089082732,4395.190479913502,3064.1756540655424,3064.1756540655424,-343.44243199999863,-343.44243199999863,-343.44243199999863,462.59191623570547,462.59191623570547,462.59191623570547,-4.393592010079177,-4.393592010079177,-4.393592010079177,-801.640756225625,-801.640756225625,-801.640756225625,0.0,0.0,0.0,2720.733222065544
31,2018-02-01,3064.9758873891383,1132.9119164349513,4198.0814229739135,3064.9758873891383,3064.9758873891383,-319.2301093661413,-319.2301093661413,-319.2301093661413,462.59191623570547,462.59191623570547,462.59191623570547,22.468361364170427,22.468361364170427,22.468361364170427,-804.2903869660172,-804.2903869660172,-804.2903869660172,0.0,0.0,0.0,2745.745778022997
32,2018-02-02,3065.776120712734,1115.2160430768367,4216.518403749886,3065.776120712734,3065.776120712734,-377.95830098500403,-377.95830098500403,-377.95830098500403,462.59191623570547,462.59191623570547,462.59191623570547,-34.595034576329766,-34.595034576329766,-34.595034576329766,-805.9551826443798,-805.9551826443798,-805.9551826443798,0.0,0.0,0.0,2687.8178197277302
33,2018-02-03,3066.57635403633,1025.886136423855,4322.98109474594,3066.57635403633,3066.57635403633,-357.9246250096713,-357.9246250096713,-357.9246250096713,462.59191623570547,462.59191623570547,462.59191623570547,-14.026900617655215,-14.026900617655215,-14.026900617655215,-806.4896406277215,-806.4896406277215,-806.4896406277215,0.0,0.0,0.0,2708.651729026659
34,2018-02-04,3067.376587359926,1095.6565507090493,4296.721957958686,3067.376587359926,3067.376587359926,-318.05260510035845,-318.05260510035845,-318.05260510035845,462.59191623570547,462.59191623570547,462.59191623570547,25.161350794780983,25.161350794780983,25.161350794780983,-805.8058721308449,-805.8058721308449,-805.8058721308449,0.0,0.0,0.0,2749.3239822595674
